Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
methylhexanoate;heptane;CCCCCC(=O)OC;CCCCCCC;-5.63
anthracene;octanol;C1=CC=C2C=C3C=CC=CC3=CC2=C1;CCCCCCCCO;-10.47
aceticacid;octanol;CC(=O)O;CCCCCCCCO;-6.35
methylpentanoate;hexane;CCCCC(=O)OC;CCCCCC;-4.94
n-octane;butanone;CCCCCCCC;CCC(=O)C;-4.64
urea;octanol;C(=O)(N)N;CCCCCCCCO;-10.93
butylamine;nonanol;CCCCN;CCCCCCCCCO;-5.35
1,3-diacetyloxypropan-2-ylacetate(glyceroltriacetate);water;CC(=O)OCC(COC(=O)C)OC(=O)C;O;-8.84
g-butyrolactone;butanone;C1CC(=O)OC1;CCC(=O)C;-4.47
piperazine;octanol;C1CNCCN1;CCCCCCCCO;-5.8
ethanol;xylene;CCO;CC1=CC(=CC=C1)C;-3.42
1-heptanol;dichloroethane;CCCCCCCO;CC(Cl)Cl;-6.79
1-hexanol;chloroform;CCCCCCO;C(Cl)(Cl)Cl;-6.67
methylacetate;pentadecane;CC(=O)OC;CCCCCCCCCCCCCCC;-2.82
ethylbenzene;hexanol;CCC1=CC=CC=C1;CCCCCCO;-4.54
2-methoxyethanol;tributylphosphate;COCCO;CCCCOP(=O)(OCCCC)OCCCC;-6.14
(RS)-2-sec-butyl-4,6-dinitrophenol(dinoseb);water;CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O;O;-6.2
2-methyl-1-nitrobenzene;hexadecane;CC1=CC=CC=C1[N+](=O)[O-];CCCCCCCCCCCCCCCC;-6.52
3,3-dimethylbutanone;chlorohexane;CC(=O)C(C)(C)C;CCCCCCCl;-4.98
n-propane;cyclohexane;CCC;C1CCCCC1;-2.09
acetone;ethylbenzene;CC(=O)C;CCC1=CC=CC=C1;-3.41
2-butanone;ethylbenzene;CCC(=O)C;CCC1=CC=CC=C1;-4.12
toluene;heptane;CC1=CC=CC=C1;CCCCCCC;-4.78
methylacetate;xylene;CC(=O)OC;CC1=CC(=CC=C1)C;-3.7
butylamine;water;CCCCN;O;-4.29
benzaldehyde;water;C1=CC=C(C=C1)C=O;O;-4.02
acetone;hexadecane;CC(=O)C;CCCCCCCCCCCCCCCC;-2.31
3-pentanone;octanol;CCC(=O)CC;CCCCCCCCO;-4.36
nitromethane;fluorobenzene;C[N+](=O)[O-];C1=CC=C(C=C1)F;-4.62
ethanol;octanol;CCO;CCCCCCCCO;-4.36
butylamine;bromobenzene;CCCCN;C1=CC=C(C=C1)Br;-4.22
t-butanol;benzene;CC(C)(C)O;C1=CC=CC=C1;-3.7
acetone;octane;CC(=O)C;CCCCCCCC;-2.46
water;methylenechloride;O;C(Cl)Cl;-2.63
tetrahydrofuran;hexadecane;C1CCOC1;CCCCCCCCCCCCCCCC;-3.6
naproxen;water;C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O;O;-10.21
methylpentanoate;tbutylbenzene;CCCCC(=O)OC;CC(C)(C)C1=CC=CC=C1;-5.39
2-nitropropane;water;CC(C)[N+](=O)[O-];O;-3.14
1-butene;octanol;CCC=C;CCCCCCCCO;-1.89
isopropanol;diethylether;CC(C)O;CCOCC;-4.44
n-octane;dimethylsulfoxide;CCCCCCCC;CS(=O)C;-2.84
propylamine;ethylbenzene;CCCN;CCC1=CC=CC=C1;-3.44
n-octane;pyridine;CCCCCCCC;C1=CC=NC=C1;-4.5
5-amino-4-chloro-2-phenyl-3-(2H)-pyridazinone(pyrazon);water;C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)N)Cl;O;-16.4
nitrobenzene;cyclohexane;C1=CC=C(C=C1)[N+](=O)[O-];C1CCCCC1;-6.62
E-1,2-dichloroethene;water;C(=C/Cl)\Cl;O;-0.76
4-methylpyridine;water;CC1=CC=NC=C1;O;-4.94
acetone;xylene;CC(=O)C;CC1=CC(=CC=C1)C;-3.26
nitroethane;octanol;CC[N+](=O)[O-];CCCCCCCCO;-3.93
ethanol;octane;CCO;CCCCCCCC;-2.15
cyclohexane;hexadecyliodide;C1CCCCC1;CCCCCCCCCCCCCCCCI;-3.66
methylpentanoate;chloroform;CCCCC(=O)OC;C(Cl)(Cl)Cl;-6.68
phenol;ethylbenzene;C1=CC=C(C=C1)O;CCC1=CC=CC=C1;-6.82
pyridine;carbontet;C1=CC=NC=C1;C(Cl)(Cl)(Cl)Cl;-5.01
1,4-dioxane;hexane;C1COCCO1;CCCCCC;-4.08
1-hexanol;pentane;CCCCCCO;CCCCC;-4.97
1-heptanol;butylacetate;CCCCCCCO;CCCCCC(=O)[O-];-7.14
ethylamine;toluene;CCN;CC1=CC=CC=C1;-2.67
acetonitrile;chloroform;CC#N;C(Cl)(Cl)Cl;-4.44
thiophene;octanol;C1=CSC=C1;CCCCCCCCO;-3.89
2,4-dimethylpyridine;hexadecane;CC1=CC(=NC=C1)C;CCCCCCCCCCCCCCCC;-5.52
ethylamine;butanol;CCN;CCCCO;-4.5
1,4-dioxane;butanone;C1COCCO1;CCC(=O)C;-5.02
butylamine;perfluorobenzene;CCCCN;C1(=C(C(=C(C(=C1F)F)F)F)F)F;-4.13
nitrobenzene;decalin;C1=CC=C(C=C1)[N+](=O)[O-];C1CCC2CCCCC2C1;-6.36
methylacetate;decalin;CC(=O)OC;C1CCC2CCCCC2C1;-2.9
n-butane;water;CCCC;O;2.08
toluene;anisole;CC1=CC=CC=C1;COC1=CC=CC=C1;-4.95
p-xylene;octanol;CC1=CC=C(C=C1)C;CCCCCCCCO;-5.19
ethylamine;chloroform;CCN;C(Cl)(Cl)Cl;-4.02
trimethylphosphate;chloroform;COP(=O)(OC)OC;C(Cl)(Cl)Cl;-9.74
o-cresol;hexane;CC1=CC=CC=C1O;CCCCCC;-6.25
5-bromouracil;diethylether;C1=C(C(=O)NC(=O)N1)Br;CCOCC;-17.01
chlorobenzene;heptane;C1=CC=C(C=C1)Cl;CCCCCCC;-5.15
hexanoicacid;water;C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl;O;-6.21
naphthalene;diethylether;C1=CC=C2C=CC=CC2=C1;CCOCC;-7.25
p-bromophenol;dibromoethane;C1=CC(=CC=C1O)Br;CC(Br)Br;-9.01
cyclopentanone;hexadecane;C1CCC(=O)C1;CCCCCCCCCCCCCCCC;-4.39
hydrazine;benzene;NN;C1=CC=CC=C1;-4.02
1-bromopentane;water;CCCCCBr;O;-0.08
3-methylaniline;carbontet;CC1=CC(=CC=C1)N;C(Cl)(Cl)(Cl)Cl;-7.23
trimethylamine;diisopropylether;CN(C)C;CC(C)OC(C)C;-2.74
1-butanol;isooctane;CCCCO;CC(C)CC(C)(C)C;-3.56
2-(ethylamino)-4-isopropylamino-6-methyl-thio-s-triazine(ametryn);water;CCNC1=NC(=NC(=N1)SC)NC(C)C;O;-7.7
2-chloropropane;hexadecane;CC(C)Cl;CCCCCCCCCCCCCCCC;-2.69
diethylamine;dibutylether;CCNCC;CCCCOCCCC;-3.8
2-octanone;heptane;CCCCCCC(=O)C;CCCCCCC;-5.68
p-bromophenol;hexane;C1=CC(=CC=C1O)Br;CCCCCC;-6.96
t-butylmethylether;octanol;CC(C)(C)OC;CCCCCCCCO;-3.49
ethanol;mcresol;CCO;CC1=CC(=CC=C1)O;-5.58
1-nitrobutane;octanol;CCCC[N+](=O)[O-];CCCCCCCCO;-5.11
propene;water;CC=C;O;1.27
acetaldehyde;water;CC=O;O;-3.5
diethylamine;toluene;CCNCC;CC1=CC=CC=C1;-3.75
piperidine;octanol;C1CCNCC1;CCCCCCCCO;-6.27
benzamide;hexane;C1=CC=C(C=C1)C(=O)N;CCCCCC;-7.77
2-butanone;benzene;CCC(=O)C;C1=CC=CC=C1;-4.46
diclofenacacid;water;C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl;O;-6.3
2,2,2-trifluoroethanol;cyclohexane;C(C(F)(F)F)O;C1CCCCC1;-1.53
2,2'-dichlorobiphenyl;heptane;C1=CC=C(C(=C1)C2=CC=CC=C2Cl)Cl;CCCCCCC;-9.22
n-hexane;octanol;CCCCCC;CCCCCCCCO;-3.01
2,2-dichloroethenyldimethylphosphate;water;COP(=O)(OC)OC=C(Cl)Cl;O;-6.61
2-methoxyethanol;diethylether;COCCO;CCOCC;-5.12
benzene;isooctane;C1=CC=CC=C1;CC(C)CC(C)(C)C;-4.01
methylhexanoate;octane;CCCCCC(=O)OC;CCCCCCCC;-5.53
N-methylaniline;decalin;CNC1=CC=CC=C1;C1CCC2CCCCC2C1;-6.41
2-methylpyridine;2methylpyridine;CC1=CC=CC=N1;CC1=CC=CC=N1;-5.71
ethanol;aniline;CCO;C1=CC=C(C=C1)N;-4.45
ethanol;phenylether;CCO;C1=CC=C(C=C1)OC2=CC=CC=C2;-3.22
5-nonanone;hexadecane;CCCCC(=O)CCCC;CCCCCCCCCCCCCCCC;-6.46
trimethylamine;diethylether;CN(C)C;CCOCC;-2.78
ethanol;bromoform;CCO;C(Br)(Br)Br;-3.24
propylacetate;secbutylbenzene;CCCCC(=O)O;CCC(C)C1=CC=CC=C1;-4.62
ethylbenzene;carbontet;CCC1=CC=CC=C1;C(Cl)(Cl)(Cl)Cl;-5.67
propene;isooctane;CC=C;CC(C)CC(C)(C)C;-1.61
1,4-dichlorobenzene;hexadecane;C1=CC(=CC=C1Cl)Cl;CCCCCCCCCCCCCCCC;-6.02
2-butanone;cyclohexanone;CCC(=O)C;C1CCC(=O)CC1;-4.42
methylacetate;decane;CC(=O)OC;CCCCCCCCCC;-2.98
dichloromethane;hexadecane;C(Cl)Cl;CCCCCCCCCCCCCCCC;-2.76
n-octane;acetonitrile;CCCCCCCC;CC#N;-3.57
propylacetate;chlorohexane;CCCCC(=O)O;CCCCCCCl;-4.84
2,6-dimethylpyridine;cyclohexane;CC1=NC(=CC=C1)C;C1CCCCC1;-5.51
allylalcohol;water;C=CCO;O;-5.08
diethylamine;butanol;CCNCC;CCCCO;-5.15
tetrafluoromethane;water;C(F)(F)(F)F;O;3.16
butylacetate;ethylbenzene;CCCCCC(=O)[O-];CCC1=CC=CC=C1;-5.48
butylamine;isopropylbenzene;CCCCN;CC(C)C1=CC=CC=C1;-4.06
iodoethane;water;CCI;O;-0.72
pyridine;xylene;C1=CC=NC=C1;CC1=CC(=CC=C1)C;-5.12
3-pentanone;hexadecane;CCC(=O)CC;CCCCCCCCCCCCCCCC;-3.83
2-butanone;hexadecane;CCC(=O)C;CCCCCCCCCCCCCCCC;-3.12
toluene;ethanol;CC1=CC=CC=C1;CCO;-4.57
propene;octanol;CC=C;CCCCCCCCO;-1.14
o-cresol;water;CC1=CC=CC=C1O;O;-5.87
1,4-dioxane;ethanol;C1COCCO1;CCO;-4.68
ethylacetate;chlorohexane;CCOC(=O)C;CCCCCCCl;-4.25
chloroform;hexadecyliodide;C(Cl)(Cl)Cl;CCCCCCCCCCCCCCCCI;-3.36
1-butanol;iodobenzene;CCCCO;C1=CC=C(C=C1)I;-4.05
butylamine;hexane;CCCCN;CCCCCC;-3.62
pentylacetate;secbutylbenzene;CCCCCOC(=O)C;CCC(C)C1=CC=CC=C1;-5.98
pentylacetate;pentane;CCCCCOC(=O)C;CCCCC;-5.62
thiophenol;methylenechloride;C1=CC=C(C=C1)S;C(Cl)Cl;-7.11
m-cresol;benzene;CC1=CC(=CC=C1)O;C1=CC=CC=C1;-6.66
benzonitrile;chloroform;C1=CC=C(C=C1)C#N;C(Cl)(Cl)Cl;-7.22
aceticacid;diethylether;CC(=O)O;CCOCC;-6.26
