Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
ketoprofen;octanol;CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O;CCCCCCCCO;-15.04
ammonia;water;N;O;-4.29
2-methoxybenzoic acid;octanol;COC1=CC=CC=C1C(=O)O;CCCCCCCCO;-12.49
2-heptanone;hexadecane;CCCCCC(=O)C;CCCCCCCCCCCCCCCC;-5.13
2-butanone;acetophenone;CCC(=O)C;CC(=O)C1=CC=CC=C1;-4.39
3-methylaniline;cyclohexane;CC1=CC(=CC=C1)N;C1CCCCC1;-6.47
1-hexanol;isooctane;CCCCCCO;CC(C)CC(C)(C)C;-5.1
n-octane;dimethylpyridine;CCCCCCCC;CC1=C(N=CC=C1)C;-4.88
benzonitrile;chloroform;C1=CC=C(C=C1)C#N;C(Cl)(Cl)Cl;-7.22
2-butanone;butanol;CCC(=O)C;CCCCO;-4.12
ethyl acetate;hexadecane;CCOC(=O)C;CCCCCCCCCCCCCCCC;-3.25
1-hexanol;water;CCCCCCO;O;-4.36
n-octane;butanone;CCCCCCCC;CCC(=O)C;-4.64
methanol;pentane;CO;CCCCC;-1.29
n-octane;cyclohexanone;CCCCCCCC;C1CCC(=O)CC1;-4.57
butylamine;sec-butanol;CCCCN;CCC(C)O;-5.52
bromomethane;octanol;CBr;CCCCCCCCO;-2.43
pentyl acetate;cyclohexane;CCCCCOC(=O)C;C1CCCCC1;-5.71
1-bromopentane;water;CCCCCBr;O;-0.08
ethanol;dibutyl ether;CCO;CCCCOCCCC;-3.51
methyl pentanoate;benzene;CCCCC(=O)OC;C1=CC=CC=C1;-5.83
phenacetin;water;CCOC1=CC=C(C=C1)NC(=O)C;O;-10.91
methyl propanoate;tetrachloroethene;CCC(=O)OC;C(=C(Cl)Cl)(Cl)Cl;-4.39
nitromethane;perfluorobenzene;C[N+](=O)[O-];C1(=C(C(=C(C(=C1F)F)F)F)F)F;-4.3
1-hexanol;bromobenzene;CCCCCCO;C1=CC=C(C=C1)Br;-5.92
acetanilide;benzene-water;CC(=O)NC1=CC=CC=C1;C1=CC=CC=C1.O;-0.3
m-hydroxybenzaldehyde;octanol;C1=CC(=CC(=C1)O)C=O;CCCCCCCCO;-11.39
propyl acetate;cyclohexane;CCCOC(=O)C;C1CCCCC1;-4.36
aniline;water;C1=CC=C(C=C1)N;O;-5.49
b-propiolactone;diethyl ether-water;C1COC1=O;CCOCC.O;-0.03
ethanol;ethylbenzene;CCO;CCC1=CC=CC=C1;-2.49
p-cresol;iodobenzene;CC1=CC=C(C=C1)O;C1=CC=C(C=C1)I;-7.01
hexanoic acid;Carbon tetrachloride;CCCCCC(=O)O;C(Cl)(Cl)(Cl)Cl;-6.99
methylbenzoate;benzene;COC(=O)C1=CC=CC=C1;C1=CC=CC=C1;-6.27
2-methylpropene;water;CC(=C)C;O;1.16
nitromethane;octanol;C[N+](=O)[O-];CCCCCCCCO;-3.51
isoquinoline;cyclohexane-water;C1=CC=C2C=NC=CC2=C1;C1CCCCC1.O;-1.51
nitromethane;nitroethane;C[N+](=O)[O-];CC[N+](=O)[O-];-5.35
n-hexane;isooctane;CCCCCC;CC(C)CC(C)(C)C;-3.08
3,3-dimethylbutanone;cyclohexane;CC(=O)C(C)(C)C;C1CCCCC1;-4.42
acetic acid;ethyl acetate;CC(=O)O;CCOC(=O)C;-6.46
trimethylamine;isobutanol;CN(C)C;CC(C)CO;-3.9
propyl acetate;1-fluorobutane;CCCOC(=O)C;CCCCF;-4.65
1,1,2-trichloro-1,2,2-trifluoroethane;hexadecane;C(C(F)(Cl)Cl)(F)(F)Cl;CCCCCCCCCCCCCCCC;-2.89
bromotoluene;hexadecane;CC1=CC=CC=C1Br;CCCCCCCCCCCCCCCC;-6.36
phenol;chloroform;C1=CC=C(C=C1)O;C(Cl)(Cl)Cl;-7.14
methylparaben;water;COC(=O)C1=CC=C(C=C1)O;O;-9.51
bromotrichloromethane;water;C(Cl)(Cl)(Cl)Br;O;-0.93
diethyl p-nitrophenyl thiophosphate;benzene;CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-];C1=CC=CC=C1;-8.58
m-cresol;decanol;CC1=CC(=CC=C1)O;CCCCCCCCCCO;-8.01
propylparaben;water;CCCOC(=O)C1=CC=C(C=C1)O;O;-9.37
m-cresol;4-methyl-2-pentanone;CC1=CC(=CC=C1)O;CC(C)CC(=O)C;-8.79
butanal;isobutanol;CCCC=O;CC(C)CO;-4.82
iodobenzene;chloroform;C1=CC=C(C=C1)I;C(Cl)(Cl)Cl;-6.6
butylamine;Carbon tetrachloride;CCCCN;C(Cl)(Cl)(Cl)Cl;-5.35
phenol;water;C1=CC=C(C=C1)O;O;-6.62
ethylamine;iodobenzene;CCN;C1=CC=C(C=C1)I;-2.73
formamide;octanol;C(=O)N;CCCCCCCCO;-7.8
pyrrole;cyclohexane;C1=CNC=C1;C1CCCCC1;-3.77
phenol;octanol;C1=CC=C(C=C1)O;CCCCCCCCO;-8.69
propyl acetate;chlorobenzene;CCCOC(=O)C;C1=CC=C(C=C1)Cl;-5.15
methanol;bromobenzene;CO;C1=CC=C(C=C1)Br;-2.31
methyl propanoate;hexane;CCC(=O)OC;CCCCCC;-3.65
iodobenzene;octanol;C1=CC=C(C=C1)I;CCCCCCCCO;-6.18
