Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
2-pentanone;chlorohexane;CCCC(=O)C;CCCCCCCl;-4.84
t-butanol;chloroform;CC(C)(C)O;C(Cl)(Cl)Cl;-4.48
m-cresol;butylacetate;CC1=CC(=CC=C1)O;CCCCCC(=O)[O-];-8.44
1,4-dioxane;benzene;C1COCCO1;C1=CC=CC=C1;-5.21
methanol;toluene;CO;CC1=CC=CC=C1;-2.18
urea;diethylether;C(=O)(N)N;CCOCC;-9.11
quinoline;octanol;C1=CC=C2C(=C1)C=CC=N2;CCCCCCCCO;-8.43
3,3-dimethylbutanone;xylene;CC(=O)C(C)(C)C;CC1=CC(=CC=C1)C;-4.91
1,1-diethoxyethane;water;CCOC(C)OCC;O;-3.28
butylamine;octane;CCCCN;CCCCCCCC;-3.44
aniline;decalin;C1=CC=C(C=C1)N;C1CCC2CCCCC2C1;-5.78
2-butanone;nonane;CCC(=O)C;CCCCCCCCC;-3.2
pentachloronitrobenzene;octanol;C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-];CCCCCCCCO;-11.55
2-nitropropane;water;CC(C)[N+](=O)[O-];O;-3.14
m-hydroxybenzaldehyde;dichloroethane;C1=CC(=CC(=C1)O)C=O;CC(Cl)Cl;-10.11
ethanethiol;hexadecane;CCS;CCCCCCCCCCCCCCCC;-2.96
propanoicacid;heptane;CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl;CCCCCCC;-4.06
pyrrolidine;water;C1CCNC1;O;-5.48
water;water;O;O;-6.31
2-methylaniline;hexadecane;CC1=CC=CC=C1N;CCCCCCCCCCCCCCCC;-6.08
(2-dimethylamino-5,6-dimethyl-pyrimidin-4-yl)N,N-dimethylcarbamate(pirimor,pirimicarb);water;CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C;O;-9.4
toluene;water;CC1=CC=CC=C1;O;-0.89
methyl2-(4-methoxy-6-methyl-1,3,5-triazin-2-ylcarbamoylsulfamoyl)benzoate(metsulfuronmethyl);water;CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC;O;-15.5
ethene;octanol;C=C;CCCCCCCCO;-0.27
2-butanone;ethanol;CCC(=O)C;CCO;-4.32
tetralin;tetralin;C1CCC2=CC=CC=C2C1;C1CCC2=CC=CC=C2C1;-7.55
propionitrile;octanol;CCC#N;CCCCCCCCO;-3.66
O-ethylO'-4-bromo-2-chlorophenylS-propylphosphorothioate;water;CCCSP(=O)(OCC)OC1=C(C=C(C=C1)Br)Cl;O;-4.09
1-propanol;cyclohexane;CCCO;C1CCCCC1;-2.73
1-heptanol;butylacetate;CCCCCCCO;CCCCCC(=O)[O-];-7.14
1-heptanol;hexane;CCCCCCCO;CCCCCC;-5.75
triethylphosphate;hexane;CCOP(=O)(OCC)OCC;CCCCCC;-6.78
phenol;heptanol;C1=CC=C(C=C1)O;CCCCCCCO;-8.69
n-hexane;hexadecane;CCCCCC;CCCCCCCCCCCCCCCC;-3.64
methylamine;chlorobenzene;CN;C1=CC=C(C=C1)Cl;-2.16
2-hexanone;pentane;CCCCC(=O)C;CCCCC;-4.79
propylamine;xylene;CCCN;CC1=CC(=CC=C1)C;-3.69
N,N-dimethylacetamide;chloroform;CC(=O)N(C)C;C(Cl)(Cl)Cl;-8.38
2-hexanone;hexane;CCCCC(=O)C;CCCCCC;-4.68
1-hexanol;decane;CCCCCCO;CCCCCCCCCC;-4.97
toluene;undecane;CC1=CC=CC=C1;CCCCCCCCCCC;-4.81
nitromethane;iodobenzene;C[N+](=O)[O-];C1=CC=C(C=C1)I;-4.1
5-trifluoromethyluracil;octanol;C1=C(C(=O)NC(=O)N1)C(F)(F)F;CCCCCCCCO;-15.51
water;hexadecane;O;CCCCCCCCCCCCCCCC;-0.35
ethylbenzene;cyclohexane;CCC1=CC=CC=C1;C1CCCCC1;-4.97
water;tetralin;O;C1CCC2=CC=CC=C2C1;0.07
3,3-dimethylbutanone;chlorohexane;CC(=O)C(C)(C)C;CCCCCCCl;-4.98
dimethyldisulfide;hexadecane;CSSC;CCCCCCCCCCCCCCCC;-4.84
ethylacetate;carbontet;CCOC(=O)C;C(Cl)(Cl)(Cl)Cl;-4.4
1-hexyne;hexadecane;CCCCC#C;CCCCCCCCCCCCCCCC;-3.42
methylacetate;ethylbenzene;CC(=O)OC;CCC1=CC=CC=C1;-3.74
1-hexanol;water;CCCCCCO;O;-4.36
fluorobenzene;decane;C1=CC=C(C=C1)F;CCCCCCCCCC;-3.48
nitromethane;propanol;C[N+](=O)[O-];CCCO;-4.04
acetophenone;hexane;CC(=O)C1=CC=CC=C1;CCCCCC;-6.05
4-nitroaniline;octanol;C1=CC(=CC=C1N)[N+](=O)[O-];CCCCCCCCO;-11.35
1-propanol;bromobenzene;CCCO;C1=CC=C(C=C1)Br;-3.74
ethylacetate;tetrachloroethene;CCOC(=O)C;C(=C(Cl)Cl)(Cl)Cl;-4.22
ethanol;benzonitrile;CCO;C1=CC=C(C=C1)C#N;-4.05
toluene;iodobenzene;CC1=CC=CC=C1;C1=CC=C(C=C1)I;-4.99
flufenamicacid;water;C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F;O;-5.68
propylamine;toluene;CCCN;CC1=CC=CC=C1;-3.51
propanoicacid;butanone;CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl;CCC(=O)C;-7.05
acetone;chlorobenzene;CC(=O)C;C1=CC=C(C=C1)Cl;-3.86
acetonitrile;water;CC#N;O;-3.89
aceticacid;butylacetate;CC(=O)O;CCCCCC(=O)[O-];-6.11
dimethoxymethane;water;COCOC;O;-2.93
methylpentanoate;nonane;CCCCC(=O)OC;CCCCCCCCC;-4.85
1-butene;hexadecane;CCC=C;CCCCCCCCCCCCCCCC;-2.03
pentylacetate;isopropylbenzene;CCCCCOC(=O)C;CC(C)C1=CC=CC=C1;-6.13
n-octane;methoxyethanol;CCCCCCCC;COCCO;-3.71
