Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
chlorobenzene;heptane;C1=CC=C(C=C1)Cl;CCCCCCC;-5.15
dimethylamine;carbontet;CNC;C(Cl)(Cl)(Cl)Cl;-2.75
p-bromophenol;toluene;C1=CC(=CC=C1O)Br;CC1=CC=CC=C1;-8.7
p-cresol;heptane;CC1=CC=C(C=C1)O;CCCCCCC;-5.77
1-butanol;xylene;CCCCO;CC1=CC(=CC=C1)C;-4.17
ethylacetate;pentane;CCOC(=O)C;CCCCC;-3.69
propylacetate;hexane;CCCCC(=O)O;CCCCCC;-4.1
cyclohexane;benzene;C1CCCCC1;C1=CC=CC=C1;-4.05
p-bromophenol;iodobenzene;C1=CC(=CC=C1O)Br;C1=CC=C(C=C1)I;-8.45
methylformate;hexadecane;COC=O;CCCCCCCCCCCCCCCC;-1.99
methylacetate;ethylbenzene;CC(=O)OC;CCC1=CC=CC=C1;-3.74
g-butyrolactone;nitromethane;C1CC(=O)OC1;C[N+](=O)[O-];-5.45
1,2-ethanediol;octanol;C(CO)O;CCCCCCCCO;-7.44
morpholine;octanol;C1COCCN1;CCCCCCCCO;-5.99
1-hexene;octanol;CCCCC=C;CCCCCCCCO;-2.94
1-propanol;dodecane;CCCO;CCCCCCCCCCCC;-2.74
anisole;anisole;COC1=CC=CC=C1;COC1=CC=CC=C1;-6.33
butenyne;water;C=CC#C;O;0.04
chlorobenzene;water;C1=CC=C(C=C1)Cl;O;-1.12
bromotrichloromethane;hexadecane;C(Cl)(Cl)(Cl)Br;CCCCCCCCCCCCCCCC;-4.46
m-cresol;diethylether;CC1=CC(=CC=C1)O;CCOCC;-7.95
phenol;toluene;C1=CC=C(C=C1)O;CC1=CC=CC=C1;-6.93
1-heptanol;chloroform;CCCCCCCO;C(Cl)(Cl)Cl;-7.53
1,2-ethanediol;water;C(CO)O;O;-9.3
propylacetate;pentadecane;CCCCC(=O)O;CCCCCCCCCCCCCCC;-3.91
