from pubchempy import get_compounds

# ok = set()
# nok = set()
# need = {'C', 'H', 'N', 'O', 'F', 'P', 'Cl', 'S', 'Br'}
# data = []
# res = []

# def judge(name):
#     if name in ok:
#         return True
#     if name in nok:
#         return False
#     print("need " + name)
#     compounds = get_compounds(name, 'name')
#     compound = compounds[0] if compounds else None
#     if compound:
#         tmp = set(compound.elements)
#         if not tmp.difference(need):
#             ok.add(name)
#             return True
#         else:
#             nok.add(name)
#             return False
#     else:
#         print("Can't get element of " + name)
#         res.append(name)
#         return False

# f = open('other.txt', 'w')
# with open('res.txt', 'r') as reader:
#     first_line = True
#     for line in reader:
#         if first_line:
#             first_line = False
#             continue
#         lines = line.split(';')
#         solute = lines[0]
#         solvent = lines[1]
#         if judge(solute) and judge(solvent):
#             f.write(line)

# f.close()
# f = open('res.txt', 'a')
# f.write('\n' + time.strftime("%Y-%m-%d %H:%M:%S", time.localtime()) + '\n')
# print("{} can't find".format(len(res)))
# for line in res:
#     f.write(line + '\n')
# f.close()

a = set()
cnt = 0
with open('Solv@Tum_reformated.txt', 'r') as reader:
    first_column = True
    for line in reader:
        if first_column:
            first_column = False
            continue
        if line in a:
            cnt += 1
        else:
            a.add(line)

print(cnt)
;PYRIDINE;CCCCOC(=O)C;c1ccncc1;-5.79
ACETONITRILE;PYRIDINE;CC#N;c1ccncc1;-4.43
NITROMETHANE;PYRIDINE;C[N+](=O)[O-];c1ccncc1;-5.04
METHANOL;PYRIDINE;CO;c1ccncc1;-4.62
ETHANOL;PYRIDINE;CCO;c1ccncc1;-5.02
1-PROPANOL;PYRIDINE;CCCO;c1ccncc1;-5.59
N-BUTANOL;PYRIDINE;CCCCO;c1ccncc1;-6.22
TOLUENE;PYRIDINE;Cc1ccccc1;c1ccncc1;-5.12
ETHYLBENZENE;PYRIDINE;CCc1ccccc1;c1ccncc1;-5.76
CHLOROBENZENE;PYRIDINE;c1ccc(cc1)Cl;c1ccncc1;-5.82
DECANE;PYRIDINE;CCCCCCCCCC;c1ccncc1;-5.76
ISOPROPANOL;PYRIDINE;CC(C)O;c1ccncc1;-4.96
P-XYLENE;PYRIDINE;Cc1ccc(cc1)C;c1ccncc1;-5.76
PYRIDINE;PYRIDINE;c1ccncc1;c1ccncc1;-5.52
1-CHLOROBUTANE;PYRIDINE;CCCCCl;c1ccncc1;-4.33
ISOBUTANOL;PYRIDINE;CC(C)CO;c1ccncc1;-6.02
TERT-BUTANOL;PYRIDINE;CC(C)(C)O;c1ccncc1;-5.07
O-XYLENE;PYRIDINE;Cc1ccccc1C;c1ccncc1;-5.99
PENTYL ACETATE;PYRIDINE;CCCCCOC(=O)C;c1ccncc1;-6.43
M-XYLENE;PYRIDINE;Cc1cccc(c1)C;c1ccncc1;-5.81
FLUOROBENZENE;PYRIDINE;c1ccc(cc1)F;c1ccncc1;-4.69
BROMOBENZENE;PYRIDINE;c1ccc(cc1)Br;c1ccncc1;-6.34
UNDECANE;PYRIDINE;CCCCCCCCCCC;c1ccncc1;-6.47
IODOBENZENE;PYRIDINE;c1ccc(cc1)I;c1ccncc1;-7.37
4-METHYLPENTAN-2-ONE;PYRIDINE;CC(C)CC(=O)C;c1ccncc1;-5.53
PENTANE;ACETIC ACID;CCCCC;CC(=O)O;-2.06
HEXANE;ACETIC ACID;CCCCCC;CC(=O)O;-2.67
HEPTANE;ACETIC ACID;CCCCCCC;CC(=O)O;-3.19
OCTANE;ACETIC ACID;CCCCCCCC;CC(=O)O;-4.01
1,4-DIOXANE;ACETIC ACID;C1COCCO1;CC(=O)O;-5.86
BUTANONE;ACETIC ACID;CCC(=O)C;CC(=O)O;-4.89
ACETONITRILE;ACETIC ACID;CC#N;CC(=O)O;-4.01
NITROMETHANE;ACETIC ACID;C[N+](=O)[O-];CC(=O)O;-4.84
ETHANOL;ACETIC ACID;CCO;CC(=O)O;-5.2
TOLUENE;ACETIC ACID;Cc1ccccc1;CC(=O)O;-4.58
2,2,4-TRIMETHYLPENTANE;ACETIC ACID;CC(C)CC(C)(C)C;CC(=O)O;-3.09
PENTANE;BUTYL ACETATE;CCCCC;CCCCOC(=O)C;-2.94
HEXANE;BUTYL ACETATE;CCCCCC;CCCCOC(=O)C;-3.59
HEPTANE;BUTYL ACETATE;CCCCCCC;CCCCOC(=O)C;-4.23
OCTANE;BUTYL ACETATE;CCCCCCCC;CCCCOC(=O)C;-4.85
NONANE;BUTYL ACETATE;CCCCCCCCC;CCCCOC(=O)C;-5.49
CARBON TETRACHLORIDE;BUTYL ACETATE;C(Cl)(Cl)(Cl)Cl;CCCCOC(=O)C;-4.26
BUTYL ACETATE;BUTYL ACETATE;CCCCOC(=O)C;CCCCOC(=O)C;-5.58
1-PROPANOL;BUTYL ACETATE;CCCO;CCCCOC(=O)C;-4.65
PENTANOL;BUTYL ACETATE;CCCCCO;CCCCOC(=O)C;-6.28
HEXANOL;BUTYL ACETATE;CCCCCCO;CCCCOC(=O)C;-6.83
TOLUENE;BUTYL ACETATE;Cc1ccccc1;CCCCOC(=O)C;-5.5
P-XYLENE;BUTYL ACETATE;Cc1ccc(cc1)C;CCCCOC(=O)C;-6.1
ISOBUTANOL;BUTYL ACETATE;CC(C)CO;CCCCOC(=O)C;-4.84
O-XYLENE;BUTYL ACETATE;Cc1ccccc1C;CCCCOC(=O)C;-6.22
3-METHYLBUTAN-1-OL;BUTYL ACETATE;CC(C)CCO;CCCCOC(=O)C;-5.78
M-XYLENE;BUTYL ACETATE;Cc1cccc(c1)C;CCCCOC(=O)C;-6.06
PENTANE;PHENYLAMINE;CCCCC;c1ccc(cc1)N;-1.81
HEXANE;PHENYLAMINE;CCCCCC;c1ccc(cc1)N;-2.33
HEPTANE;PHENYLAMINE;CCCCCCC;c1ccc(cc1)N;-2.98
OCTANE;PHENYLAMINE;CCCCCCCC;c1ccc(cc1)N;-3.53
DICHLOROMETHANE;PHENYLAMINE;C(Cl)Cl;c1ccc(cc1)N;-3.44
CHLOROFORM;PHENYLAMINE;C(Cl)(Cl)Cl;c1ccc(cc1)N;-3.88
CARBON TETRACHLORIDE;PHENYLAMINE;C(Cl)(Cl)(Cl)Cl;c1ccc(cc1)N;-3.52
DIETHYL ETHER;PHENYLAMINE;CCOCC;c1ccc(cc1)N;-3.77
1,4-DIOXANE;PHENYLAMINE;C1COCCO1;c1ccc(cc1)N;-5.67
ACETONE;PHENYLAMINE;CC(=O)C;c1ccc(cc1)N;-4.14
BUTANONE;PHENYLAMINE;CCC(=O)C;c1ccc(cc1)N;-4.87
ACETONITRILE;PHENYLAMINE;CC#N;c1ccc(cc1)N;-4.68
NITROMETHANE;PHENYLAMINE;C[N+](=O)[O-];c1ccc(cc1)N;-5.03
METHANOL;PHENYLAMINE;CO;c1ccc(cc1)N;-3.86
ETHANOL;PHENYLAMINE;CCO;c1ccc(cc1)N;-4.3
N-BUTANOL;PHENYLAMINE;CCCCO;c1ccc(cc1)N;-5.38
TOLUENE;PHENYLAMINE;Cc1ccccc1;c1ccc(cc1)N;-4.64
CHLOROBENZENE;PHENYLAMINE;c1ccc(cc1)Cl;c1ccc(cc1)N;-5.16
BROMOETHANE;PHENYLAMINE;CCBr;c1ccc(cc1)N;-3.14
ETHYL ACETATE;PHENYLAMINE;CCOC(=O)C;c1ccc(cc1)N;-4.34
2,2,4-TRIMETHYLPENTANE;PHENYLAMINE;CC(C)CC(C)(C)C;c1ccc(cc1)N;-2.81
1-CHLOROBUTANE;PHENYLAMINE;CCCCCl;c1ccc(cc1)N;-3.83
O-XYLENE;PHENYLAMINE;Cc1ccccc1C;c1ccc(cc1)N;-5.4
METHYLCYCLOHEXANE;PHENYLAMINE;CC1CCCCC1;c1ccc(cc1)N;-3.31
PHENYLAMINE;PHENYLAMINE;c1ccc(cc1)N;c1ccc(cc1)N;-7.47
HEXANE;2-ETHOXYETHANOL;CCCCCC;CCOCCO;-3.03
HEPTANE;2-ETHOXYETHANOL;CCCCCCC;CCOCCO;-3.6
OCTANE;2-ETHOXYETHANOL;CCCCCCCC;CCOCCO;-4.16
NONANE;2-ETHOXYETHANOL;CCCCCCCCC;CCOCCO;-4.73
METHYL ACETATE;2-ETHOXYETHANOL;CC(=O)OC;CCOCCO;-3.69
PROPYL ACETATE;2-ETHOXYETHANOL;CCCOC(=O)C;CCOCCO;-4.71
METHANOL;2-ETHOXYETHANOL;CO;CCOCCO;-4.34
ETHANOL;2-ETHOXYETHANOL;CCO;CCOCCO;-4.56
1-PROPANOL;2-ETHOXYETHANOL;CCCO;CCOCCO;-5.33
TOLUENE;2-ETHOXYETHANOL;Cc1ccccc1;CCOCCO;-4.7
ETHYLBENZENE;2-ETHOXYETHANOL;CCc1ccccc1;CCOCCO;-5.19
CHLOROBENZENE;2-ETHOXYETHANOL;c1ccc(cc1)Cl;CCOCCO;-5.42
DECANE;2-ETHOXYETHANOL;CCCCCCCCCC;CCOCCO;-5.2
ISOPROPANOL;2-ETHOXYETHANOL;CC(C)O;CCOCCO;-4.87
P-XYLENE;2-ETHOXYETHANOL;Cc1ccc(cc1)C;CCOCCO;-5.2
ETHYL ACETATE;2-ETHOXYETHANOL;CCOC(=O)C;CCOCCO;-4.14
O-XYLENE;2-ETHOXYETHANOL;Cc1ccccc1C;CCOCCO;-5.4
METHYLCYCLOHEXANE;2-ETHOXYETHANOL;CC1CCCCC1;CCOCCO;-3.79
M-XYLENE;2-ETHOXYETHANOL;Cc1cccc(c1)C;CCOCCO;-5.24
FLUOROBENZENE;2-ETHOXYETHANOL;c1ccc(cc1)F;CCOCCO;-4.38
BROMOBENZENE;2-ETHOXYETHANOL;c1ccc(cc1)Br;CCOCCO;-5.95
UNDECANE;2-ETHOXYETHANOL;CCCCCCCCCCC;CCOCCO;-5.71
2-ETHOXYETHANOL;2-ETHOXYETHANOL;CCOCCO;CCOCCO;-6.23
CYCLOOCTANE;2-ETHOXYETHANOL;C1CCCCCCC1;CCOCCO;-4.92
BUTYRONITRILE;NONANOL;CCCC#N;CCCCCCCCCO;-4.08
1-OCTANOL;NONANOL;CCCCCCCCO;CCCCCCCCCO;-8.45
NONANOL;NONANOL;CCCCCCCCCO;CCCCCCCCCO;-9.02
DECAN-1-OL;NONANOL;CCCCCCCCCCO;CCCCCCCCCO;-9.64
OCTANE;FLUOROBENZENE;CCCCCCCC;c1ccc(cc1)F;-5.16
1,4-DIOXANE;FLUOROBENZENE;C1COCCO1;c1ccc(cc1)F;-5.16
BUTANONE;FLUOROBENZENE;CCC(=O)C;c1ccc(cc1)F;-4.64
NITROMETHANE;FLUOROBENZENE;C[N+](=O)[O-];c1ccc(cc1)F;-4.47
ETHANOL;FLUOROBENZENE;CCO;c1ccc(cc1)F;-3.25
TOLUENE;FLUOROBENZENE;Cc1ccccc1;c1ccc(cc1)F;-5.23
FLUOROBENZENE;FLUOROBENZENE;c1ccc(cc1)F;c1ccc(cc1)F;-4.64
OCTANE;DECAN-1-OL;CCCCCCCC;CCCCCCCCCCO;-4.53
DIETHYL ETHER;DECAN-1-OL;CCOCC;CCCCCCCCCCO;-2.93
DIISOPROPYL ETHER;DECAN-1-OL;CC(C)OC(C)C;CCCCCCCCCCO;-3.43
METHYL TERT-BUTYL ETHER;DECAN-1-OL;CC(C)(C)OC;CCCCCCCCCCO;-3.73
BUTYRONITRILE;DECAN-1-OL;CCCC#N;CCCCCCCCCCO;-3.92
METHANOL;DECAN-1-OL;CO;CCCCCCCCCCO;-3.45
ETHANOL;DECAN-1-OL;CCO;CCCCCCCCCCO;-4.1
1-PROPANOL;DECAN-1-OL;CCCO;CCCCCCCCCCO;-4.8
N-BUTANOL;DECAN-1-OL;CCCCO;CCCCCCCCCCO;-5.72
PENTANOL;DECAN-1-OL;CCCCCO;CCCCCCCCCCO;-6.39
HEXANOL;DECAN-1-OL;CCCCCCO;CCCCCCCCCCO;-6.99
NONANOL;DECAN-1-OL;CCCCCCCCCO;CCCCCCCCCCO;-8.96
ISOPROPANOL;DECAN-1-OL;CC(C)O;CCCCCCCCCCO;-4.49
2,2,4-TRIMETHYLPENTANE;DECAN-1-OL;CC(C)CC(C)(C)C;CCCCCCCCCCO;-3.9
1-CHLOROBUTANE;DECAN-1-OL;CCCCCl;CCCCCCCCCCO;-3.67
DECAN-1-OL;DECAN-1-OL;CCCCCCCCCCO;CCCCCCCCCCO;-9.59
ISOBUTANOL;DECAN-1-OL;CC(C)CO;CCCCCCCCCCO;-5.43
3-METHYLBUTAN-1-OL;DECAN-1-OL;CC(C)CCO;CCCCCCCCCCO;-6.18
UNDECANOL;DECAN-1-OL;CCCCCCCCCCCO;CCCCCCCCCCO;-10.27
2-ETHYLHEXANOL;2-ETHYLHEXANOL;CCCCC(CC)CO;CCCCC(CC)CO;-3.99
PENTANE;N,N-DIMETHYLACETAMIDE;CCCCC;CC(=O)N(C)C;-2.32
HEXANE;N,N-DIMETHYLACETAMIDE;CCCCCC;CC(=O)N(C)C;-2.86
HEPTANE;N,N-DIMETHYLACETAMIDE;CCCCCCC;CC(=O)N(C)C;-3.48
OCTANE;N,N-DIMETHYLACETAMIDE;CCCCCCCC;CC(=O)N(C)C;-3.94
NONANE;N,N-DIMETHYLACETAMIDE;CCCCCCCCC;CC(=O)N(C)C;-4.5
DICHLOROMETHANE;N,N-DIMETHYLACETAMIDE;C(Cl)Cl;CC(=O)N(C)C;-4.34
CHLOROFORM;N,N-DIMETHYLACETAMIDE;C(Cl)(Cl)Cl;CC(=O)N(C)C;-5.18
CARBON TETRACHLORIDE;N,N-DIMETHYLACETAMIDE;C(Cl)(Cl)(Cl)Cl;CC(=O)N(C)C;-4.52
DIETHYL ETHER;N,N-DIMETHYLACETAMIDE;CCOCC;CC(=O)N(C)C;-2.81
DIISOPROPYL ETHER;N,N-DIMETHYLACETAMIDE;CC(C)OC(C)C;CC(=O)N(C)C;-3.41
ETBE;N,N-DIMETHYLACETAMIDE;CCOC(C)(C)C;CC(=O)N(C)C;-3.53
TERT-AMYL METHYL ETHER;N,N-DIMETHYLACETAMIDE;CCC(C)(C)OC;CC(=O)N(C)C;-3.92
METHYL TERT-BUTYL ETHER;N,N-DIMETHYLACETAMIDE;CC(C)(C)OC;CC(=O)N(C)C;-3.29
TETRAHYDROFURAN;N,N-DIMETHYLACETAMIDE;C1CCOC1;CC(=O)N(C)C;-3.96
1,4-DIOXANE;N,N-DIMETHYLACETAMIDE;C1COCCO1;CC(=O)N(C)C;-4.99
ACETONE;N,N-DIMETHYLACETAMIDE;CC(=O)C;CC(=O)N(C)C;-3.94
BUTANONE;N,N-DIMETHYLACETAMIDE;CCC(=O)C;CC(=O)N(C)C;-4.47
METHYL ACETATE;N,N-DIMETHYLACETAMIDE;CC(=O)OC;CC(=O)N(C)C;-3.77
PROPYL ACETATE;N,N-DIMETHYLACETAMIDE;CCCOC(=O)C;CC(=O)N(C)C;-4.72
BUTYL ACETATE;N,N-DIMETHYLACETAMIDE;CCCCOC(=O)C;CC(=O)N(C)C;-5.24
ACETONITRILE;N,N-DIMETHYLACETAMIDE;CC#N;CC(=O)N(C)C;-4.8
PROPIONITRILE;N,N-DIMETHYLACETAMIDE;CCC#N;CC(=O)N(C)C;-4.99
NITROMETHANE;N,N-DIMETHYLACETAMIDE;C[N+](=O)[O-];CC(=O)N(C)C;-5.48
METHANOL;N,N-DIMETHYLACETAMIDE;CO;CC(=O)N(C)C;-4.88
ETHANOL;N,N-DIMETHYLACETAMIDE;CCO;CC(=O)N(C)C;-5.21
N-BUTANOL;N,N-DIMETHYLACETAMIDE;CCCCO;CC(=O)N(C)C;-6.23
TOLUENE;N,N-DIMETHYLACETAMIDE;Cc1ccccc1;CC(=O)N(C)C;-4.98
ETHYLBENZENE;N,N-DIMETHYLACETAMIDE;CCc1ccccc1;CC(=O)N(C)C;-5.46
CHLOROBENZENE;N,N-DIMETHYLACETAMIDE;c1ccc(cc1)Cl;CC(=O)N(C)C;-5.01
BROMOETHANE;N,N-DIMETHYLACETAMIDE;CCBr;CC(=O)N(C)C;-3.44
ISOPROPANOL;N,N-DIMETHYLACETAMIDE;CC(C)O;CC(=O)N(C)C;-5.29
PYRIDINE;N,N-DIMETHYLACETAMIDE;c1ccncc1;CC(=O)N(C)C;-5.76
ETHYL ACETATE;N,N-DIMETHYLACETAMIDE;CCOC(=O)C;CC(=O)N(C)C;-4.16
DICHLOROETHANE;N,N-DIMETHYLACETAMIDE;C(CCl)Cl;CC(=O)N(C)C;-5.01
ISOBUTANOL;N,N-DIMETHYLACETAMIDE;CC(C)CO;CC(=O)N(C)C;-6.04
METHYLCYCLOHEXANE;N,N-DIMETHYLACETAMIDE;CC1CCCCC1;CC(=O)N(C)C;-3.68
4-METHYLPENTAN-2-ONE;N,N-DIMETHYLACETAMIDE;CC(C)CC(=O)C;CC(=O)N(C)C;-5.24
ALLYL ALCOHOL;N,N-DIMETHYLACETAMIDE;C=CCO;CC(=O)N(C)C;-4.69
N,N-DIMETHYLACETAMIDE;N,N-DIMETHYLACETAMIDE;CC(=O)N(C)C;CC(=O)N(C)C;-6.77
PENTANE;1-CHLOROBUTANE;CCCCC;CCCCCl;-3.21
HEXANE;1-CHLOROBUTANE;CCCCCC;CCCCCl;-3.86
HEPTANE;1-CHLOROBUTANE;CCCCCCC;CCCCCl;-4.61
DICHLOROMETHANE;1-CHLOROBUTANE;C(Cl)Cl;CCCCCl;-3.55
CHLOROFORM;1-CHLOROBUTANE;C(Cl)(Cl)Cl;CCCCCl;-4.08
CARBON TETRACHLORIDE;1-CHLOROBUTANE;C(Cl)(Cl)(Cl)Cl;CCCCCl;-4.29
DIETHYL ETHER;1-CHLOROBUTANE;CCOCC;CCCCCl;-3.39
PROPYL ETHER;1-CHLOROBUTANE;CCCOCCC;CCCCCl;-4.68
DIISOPROPYL ETHER;1-CHLOROBUTANE;CC(C)OC(C)C;CCCCCl;-4.12
1,4-DIOXANE;1-CHLOROBUTANE;C1COCCO1;CCCCCl;-4.8
ACETONE;1-CHLOROBUTANE;CC(=O)C;CCCCCl;-3.62
ACETONITRILE;1-CHLOROBUTANE;CC#N;CCCCCl;-3.63
TRIETHYLAMINE;1-CHLOROBUTANE;CCN(CC)CC;CCCCCl;-4.57
NITROMETHANE;1-CHLOROBUTANE;C[N+](=O)[O-];CCCCCl;-4.06
ETHANOL;1-CHLOROBUTANE;CCO;CCCCCl;-3.08
N-BUTANOL;1-CHLOROBUTANE;CCCCO;CCCCCl;-4.6
HEXANOL;1-CHLOROBUTANE;CCCCCCO;CCCCCl;-5.98
1-OCTANOL;1-CHLOROBUTANE;CCCCCCCCO;CCCCCl;-7.22
TOLUENE;1-CHLOROBUTANE;Cc1ccccc1;CCCCCl;-5.15
CHLOROBENZENE;1-CHLOROBUTANE;c1ccc(cc1)Cl;CCCCCl;-5.59
BROMOETHANE;1-CHLOROBUTANE;CCBr;CCCCCl;-3.5
ETHYL ACETATE;1-CHLOROBUTANE;CCOC(=O)C;CCCCCl;-4.33
2,2,4-TRIMETHYLPENTANE;1-CHLOROBUTANE;CC(C)CC(C)(C)C;CCCCCl;-4.58
1-CHLOROBUTANE;1-CHLOROBUTANE;CCCCCl;CCCCCl;-4.42
DICHLOROETHANE;1-CHLOROBUTANE;C(CCl)Cl;CCCCCl;-4.42
ISOBUTANOL;1-CHLOROBUTANE;CC(C)CO;CCCCCl;-4.41
TERT-BUTANOL;1-CHLOROBUTANE;CC(C)(C)O;CCCCCl;-3.82
PHENYLAMINE;1-CHLOROBUTANE;c1ccc(cc1)N;CCCCCl;-6.67
1-METHOXYBUTANE;1-CHLOROBUTANE;CCCCOC;CCCCCl;-4.26
PENTANE;N-BUTANOL;CCCCC;CCCCO;-2.7
HEXANE;N-BUTANOL;CCCCCC;CCCCO;-3.33
HEPTANE;N-BUTANOL;CCCCCCC;CCCCO;-3.93
OCTANE;N-BUTANOL;CCCCCCCC;CCCCO;-4.45
DICHLOROMETHANE;N-BUTANOL;C(Cl)Cl;CCCCO;-3.29
CHLOROFORM;N-BUTANOL;C(Cl)(Cl)Cl;CCCCO;-4.02
CARBON TETRACHLORIDE;N-BUTANOL;C(Cl)(Cl)(Cl)Cl;CCCCO;-3.87
DIETHYL ETHER;N-BUTANOL;CCOCC;CCCCO;-3.1
PROPYL ETHER;N-BUTANOL;CCCOCCC;CCCCO;-4.13
DIISOPROPYL ETHER;N-BUTANOL;CC(C)OC(C)C;CCCCO;-3.75
DIBUTYL ETHER;N-BUTANOL;CCCCOCCCC;CCCCO;-5.35
1,4-DIOXANE;N-BUTANOL;C1COCCO1;CCCCO;-4.57
ACETONE;N-BUTANOL;CC(=O)C;CCCCO;-3.51
BUTANONE;N-BUTANOL;CCC(=O)C;CCCCO;-4.12
ACETONITRILE;N-BUTANOL;CC#N;CCCCO;-3.55
PROPIONITRILE;N-BUTANOL;CCC#N;CCCCO;-4.01
BUTYRONITRILE;N-BUTANOL;CCCC#N;CCCCO;-4.62
TRIETHYLAMINE;N-BUTANOL;CCN(CC)CC;CCCCO;-4.86
NITROMETHANE;N-BUTANOL;C[N+](=O)[O-];CCCCO;-3.85
METHANOL;N-BUTANOL;CO;CCCCO;-4.12
ETHANOL;N-BUTANOL;CCO;CCCCO;-4.86
1-PROPANOL;N-BUTANOL;CCCO;CCCCO;-5.23
N-BUTANOL;N-BUTANOL;CCCCO;CCCCO;-6.1
PENTANOL;N-BUTANOL;CCCCCO;CCCCO;-6.77
TOLUENE;N-BUTANOL;Cc1ccccc1;CCCCO;-4.52
ETHYLBENZENE;N-BUTANOL;CCc1ccccc1;CCCCO;-4.98
BROMOETHANE;N-BUTANOL;CCBr;CCCCO;-3.03
ISOPROPANOL;N-BUTANOL;CC(C)O;CCCCO;-5.02
CARBON DISULFIDE;N-BUTANOL;C(=S)=S;CCCCO;-3.08
PYRIDINE;N-BUTANOL;c1ccncc1;CCCCO;-5.39
ETHYL ACETATE;N-BUTANOL;CCOC(=O)C;CCCCO;-3.97
DICHLOROETHANE;N-BUTANOL;C(CCl)Cl;CCCCO;-3.98
ACETIC ACID;N-BUTANOL;CC(=O)O;CCCCO;-5.93
ISOBUTANOL;N-BUTANOL;CC(C)CO;CCCCO;-5.74
TERT-BUTANOL;N-BUTANOL;CC(C)(C)O;CCCCO;-5.13
PERFLUOROBENZENE;N-BUTANOL;c1(c(c(c(c(c1F)F)F)F)F)F;CCCCO;-3.47
PENTANE;NONANE;CCCCC;CCCCCCCCC;-3.18
HEXANE;NONANE;CCCCCC;CCCCCCCCC;-3.86
HEPTANE;NONANE;CCCCCCC;CCCCCCCCC;-4.56
OCTANE;NONANE;CCCCCCCC;CCCCCCCCC;-5.21
NONANE;NONANE;CCCCCCCCC;CCCCCCCCC;-5.98
PENTANE;ACETONITRILE;CCCCC;CC#N;-2.19
HEXANE;ACETONITRILE;CCCCCC;CC#N;-2.62
HEPTANE;ACETONITRILE;CCCCCCC;CC#N;-3.12
OCTANE;ACETONITRILE;CCCCCCCC;CC#N;-3.61
NONANE;ACETONITRILE;CCCCCCCCC;CC#N;-4.12
1,4-DIOXANE;ACETONITRILE;C1COCCO1;CC#N;-5.24
BUTANONE;ACETONITRILE;CCC(=O)C;CC#N;-4.78
ETHANOL;ACETONITRILE;CCO;CC#N;-4.34
TOLUENE;ACETONITRILE;Cc1ccccc1;CC#N;-4.73
PENTANE;ACETONE;CCCCC;CC(=O)C;-2.7
HEXANE;ACETONE;CCCCCC;CC(=O)C;-3.23
HEPTANE;ACETONE;CCCCCCC;CC(=O)C;-3.83
OCTANE;ACETONE;CCCCCCCC;CC(=O)C;-4.41
NONANE;ACETONE;CCCCCCCCC;CC(=O)C;-4.99
DICHLOROMETHANE;ACETONE;C(Cl)Cl;CC(=O)C;-4.13
CHLOROFORM;ACETONE;C(Cl)(Cl)Cl;CC(=O)C;-4.65
CARBON TETRACHLORIDE;ACETONE;C(Cl)(Cl)(Cl)Cl;CC(=O)C;-4.15
DIETHYL ETHER;ACETONE;CCOCC;CC(=O)C;-3.25
TETRAHYDROFURAN;ACETONE;C1CCOC1;CC(=O)C;-4.12
1,4-DIOXANE;ACETONE;C1COCCO1;CC(=O)C;-5.07
ACETONE;ACETONE;CC(=O)C;CC(=O)C;-4.15
