Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
DIHYDROGEN;2-BUTANOL;[HH];CCC(C)O;1.56
MOLECULAR OXYGEN;2-BUTANOL;O=O;CCC(C)O;0.91
MOLECULAR NITROGEN;2-BUTANOL;N#N;CCC(C)O;1.23
CARBON MONOXIDE;2-BUTANOL;[C-]#[O+];CCC(C)O;1.05
CARBON DIOXIDE;2-BUTANOL;C(=O)=O;CCC(C)O;-0.33
METHANE;2-BUTANOL;C;CCC(C)O;0.42
ETHANE;2-BUTANOL;CC;CCC(C)O;-0.61
ISOBUTANE;2-BUTANOL;CC(C)C;CCC(C)O;-1.79
CYCLOHEXANE;2-BUTANOL;C1CCCCC1;CCC(C)O;-3.64
ETHYLENE;2-BUTANOL;C=C;CCC(C)O;-0.44
PROPENE;2-BUTANOL;CC=C;CCC(C)O;-1.32
(2E)-2-BUTENE;2-BUTANOL;C/C=C/C;CCC(C)O;-2.13
(2Z)-2-BUTENE;2-BUTANOL;C/C=C\C;CCC(C)O;-2.21
BUTADIENE;2-BUTANOL;C=CC=C;CCC(C)O;-2.07
PERFLUOROMETHANE;2-BUTANOL;C(F)(F)(F)F;CCC(C)O;1.01
MONOCHLOROETHANE;2-BUTANOL;CCCl;CCC(C)O;-2.41
DIMETHYL ETHER;2-BUTANOL;COC;CCC(C)O;-2.1
SULFUR HEXAFLUORIDE;2-BUTANOL;FS(F)(F)(F)(F)F;CCC(C)O;0.26
BENZENE;2-BUTANOL;C1=CC=CC=C1;CCC(C)O;-3.78
1-BUTENE;2-BUTANOL;CCC=C;CCC(C)O;-1.99
ISOBUTENE;2-BUTANOL;CC(=C)C;CCC(C)O;-1.99
2-BUTANOL;2-BUTANOL;CCC(C)O;CCC(C)O;-5.58
1-BROMOBUTANE;2-BUTANOL;CCCCBr;CCC(C)O;-4.19
TRICOSANE;2-BUTANOL;CCCCCCCCCCCCCCCCCCCCCCC;CCC(C)O;-14.09
PROPANE;PENTAN-3-OL;CCC;CCC(CC)O;-1.34
N-BUTANE;PENTAN-3-OL;CCCC;CCC(CC)O;-2.07
ISOBUTANE;PENTAN-3-OL;CC(C)C;CCC(CC)O;-1.83
PROPENE;PENTAN-3-OL;CC=C;CCC(CC)O;-1.31
(2E)-2-BUTENE;PENTAN-3-OL;C/C=C/C;CCC(CC)O;-2.16
(2Z)-2-BUTENE;PENTAN-3-OL;C/C=C\C;CCC(CC)O;-2.21
BUTADIENE;PENTAN-3-OL;C=CC=C;CCC(CC)O;-2.09
MONOCHLOROETHANE;PENTAN-3-OL;CCCl;CCC(CC)O;-2.41
DIMETHYL ETHER;PENTAN-3-OL;COC;CCC(CC)O;-2.18
1-BUTENE;PENTAN-3-OL;CCC=C;CCC(CC)O;-2.01
ISOBUTENE;PENTAN-3-OL;CC(=C)C;CCC(CC)O;-2.01
DIHYDROGEN;UNDECANE;[HH];CCCCCCCCCCC;1.5
MOLECULAR OXYGEN;UNDECANE;O=O;CCCCCCCCCCC;0.79
MOLECULAR NITROGEN;UNDECANE;N#N;CCCCCCCCCCC;1.12
CARBON MONOXIDE;UNDECANE;[C-]#[O+];CCCCCCCCCCC;1.02
METHANE;UNDECANE;C;CCCCCCCCCCC;0.27
PERFLUOROMETHANE;UNDECANE;C(F)(F)(F)F;CCCCCCCCCCC;0.93
SULFUR HEXAFLUORIDE;UNDECANE;FS(F)(F)(F)(F)F;CCCCCCCCCCC;0.01
BENZENE;UNDECANE;C1=CC=CC=C1;CCCCCCCCCCC;-3.86
ACROLEIN;UNDECANE;C=CC=O;CCCCCCCCCCC;-2.76
1,1,1-TRICHLOROETHANE;UNDECANE;CC(Cl)(Cl)Cl;CCCCCCCCCCC;-3.59
