Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
METHYL VALERATE;DECANE;CCCCC(=O)OC;CCCCCCCCCC;-4.75
1,4-dichlorobutane;water;C(CCCl)CCl;O;0.38571516486618507
2,4-DIMETHYLPENTANE;METHANOL;CC(C)CC(C)C;CO;-2.98
N-propan-2-ylpropan-2-amine;water;CC(C)NC(C)C;O;0.15163411973423177
ETHYL IODIDE;PROPYLENE CARBONATE;CCI;CC1COC(=O)O1;-3.7
4,4-dimethylpent-1-ene;1-HEXADECENE;CC(C)(C)CC=C;CCCCCCCCCCCCCCC=C;-3.58
O-TOLUIDINE;OCTANE;CC1=CC=CC=C1N;CCCCCCCC;-6.34
OCTENE;4-FORMYLMORPHOLINE;CCCCCCC=C;C1COCCN1C=O;-3.4
2,3,4-TRIMETHYLPENTANE;DIMETHYLFORMAMIDE;CC(C)C(C)C(C)C;CN(C)C=O;-3.52
MONOCHLOROETHANE;TERT-BUTANOL;CCCl;CC(C)(C)O;-2.44
PENT-1-ENE;1-HEXADECENE;CCCC=C;CCCCCCCCCCCCCCC=C;-2.77
DICHLOROMETHANE;1,5-DIMETHYL-2-PYRROLIDINONE;C(Cl)Cl;CC1CCC(=O)N1C;-4.33
3-METHYL-2-HEXANOL;OCTANE;CCCC(C)C(C)O;CCCCCCCC;-5.31
PERFLUOROMETHANE;O-XYLENE;C(F)(F)(F)F;CC1=CC=CC=C1C;1.21
2,4-NONANEDIONE;DODECANE;CCCCCC(=O)CC(=O)C;CCCCCCCCCCCC;-7.22
PHTHALONITRILE;CHLOROFORM;C1=CC=C(C(=C1)C#N)C#N;C(Cl)(Cl)Cl;-11.19
1-BUTENE;ISOBUTANOL;CCC=C;CC(C)CO;-1.98
HEPTANE;PROPIONITRILE;CCCCCCC;CCC#N;-3.57
CHLOROBENZENE;N-METHYLACETAMIDE;c1ccc(cc1)Cl;C/C(=N/C)/O;-5.17
OCTENE;TRIBUTYL PHOSPHATE;CCCCCCC=C;CCCCOP(=O)(OCCCC)OCCCC;-4.49
VINYLACETYLENE;ACETONE;C=CC#C;CC(=O)C;-3.19
(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol;water;C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C;O;0.15683592073716407
1-CHLOROPROPANE;P-XYLENE;CCCCl;CC1=CC=C(C=C1)C;-3.58
MOLECULAR OXYGEN;METHYLCYCLOHEXANE;O=O;CC1CCCCC1;0.7
METHYL FORMATE;SULFOLANE;COC=O;C1CCS(=O)(=O)C1;-3.23
HEXANE;N-ETHYLACETAMIDE;CCCCCC;CCNC(=O)C;-2.92
BUTANOIC ACID;1,2-Dichlorethane;CCCC(=O)O;C(CCl)Cl;-6.1
ISOHEXANE;N-METHYLFORMAMIDE;CCCC(C)C;CNC=O;-2.24
CYCLOHEPTANE;SULFOLANE;C1CCCCCC1;C1CCS(=O)(=O)C1;-3.14
CARBON MONOXIDE;BROMOBENZENE;[C-]#[O+];C1=CC=C(C=C1)Br;1.19
TETRACHLOROETHYLENE;1,2-Dichlorethane;C(=C(Cl)Cl)(Cl)Cl;C(CCl)Cl;-5.05
