Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
4-methoxy-N,N-dimethylbenzamide;water;CN(C)C(=O)c1ccc(cc1)OC;O;-1.8744673709078965
methanesulfonyl chloride;water;CS(=O)(=O)Cl;O;-0.27751446300768245
3-methylbut-1-ene;water;CC(C)C=C;O;1.4650888729746359
2-ethylpyrazine;water;CCc1cnccn1;O;-0.428366692092719
heptan-1-ol;water;CCCCCCCO;O;-0.1058550299109167
3,5-dimethylphenol;water;Cc1cc(cc(c1)O)C;O;-0.6416405332129429
2,3-dimethylbutane;water;CC(C)C(C)C;O;1.5977347985494093
2-methylpentan-2-ol;water;CCCC(C)(C)O;O;-0.03042891536839844
(1S,2R)-1,2-dimethylcyclohexane;water;C[C@@H]1CCCC[C@@H]1C;O;1.4000663604379822
(2S)-butan-2-ol;water;CC[C@H](C)O;O;-0.21249195047102876
dibromomethane;water;C(Br)Br;O;0.47934758291896634
(3R)-2-methylpentan-3-ol;water;CC[C@H](C(C)C)O;O;-0.020025313362533843
2-ethylpyridine;water;CCc1ccccn1;O;-0.1370658359285105
ethyl pentanoate;water;CCCCC(=O)OCC;O;0.34149985634126045
benzenethiol;water;c1ccc(cc1)S;O;0.3258944533324637
(2Z)-3,7-dimethylocta-2,6-dien-1-ol;water;CC(=CCC/C(=C\CO)/C)C;O;-0.25410635849448715
2,3-dihydro-1H-indene;water;c1ccc2c(c1)CCC2;O;0.6093926079922737
ethoxybenzene;water;CCOc1ccccc1;O;0.4117241698808464
4-bromophenol;water;c1cc(ccc1O)Br;O;-0.5324027121513647
2,2-dimethylpentane;water;CCCC(C)(C)C;O;1.7381834256285815
2-acetyloxyethyl acetate;water;CC(=O)OCCOC(=O)C;O;-0.659846836723206
diethoxyphosphinothioylsulfanylmethylsulfanyl-diethoxy-sulfanylidene-lambda5-phosphane;water;CCOP(=S)(OCC)SCSP(=S)(OCC)OCC;O;-0.5974252246880184
cycloheptanol;water;C1CCCC(CC1)O;O;-0.4361693935971175
methyl cyclopropanecarboxylate;water;COC(=O)C1CC1;O;-0.077245124394789
benzonitrile;water;c1ccc(cc1)C#N;O;-0.077245124394789
pentanenitrile;water;CCCCC#N;O;0.07360710469024741
2-methylpropan-2-ol;water;CC(C)(C)O;O;-0.17347844294903647
2,4-dimethylpentan-3-one;water;CC(C)C(=O)C(C)C;O;0.2764773438046068
propanal;water;CCC=O;O;0.0970152092034427
N,N-dimethylformamide;water;CN(C)C=O;O;-1.0421792104387293
1,4-xylene;water;Cc1ccc(cc1)C;O;0.7810520410890393
penta-1,4-diene;water;C=CCC=C;O;1.2310078278426828
2-(2,3-dimethylanilino)benzoic acid;water;Cc1cccc(c1C)Nc2ccccc2C(=O)O;O;-0.7742864587877165
N,N-dimethylbenzamide;water;CN(C)C(=O)c1ccccc1;O;-1.4271124846557193
N-ethylethanamine;water;CCNCC;O;-0.06944242289039074
4-tert-butylphenol;water;CC(C)(C)c1ccc(cc1)O;O;-0.5480081151601617
3-methylbutyl formate;water;CC(C)CCOC=O;O;0.43513227439404184
decan-1-ol;water;CCCCCCCCCCO;O;0.04239629867265362
ethyl propanoate;water;CCC(=O)OCC;O;0.2920827468134037
nonane;water;CCCCCCCCC;O;1.8032059381652352
N-methylacetamide;water;CC(=O)NC;O;-1.611776420259816
non-1-ene;water;CCCCCCCC=C;O;1.5249095845083573
naphthalen-2-ol;water;c1ccc2cc(ccc2c1)O;O;-1.1202062254827139
1,2,4-trichlorobenzene;water;c1cc(c(cc1Cl)Cl)Cl;O;0.6978232250421226
(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol;water;C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O;O;-5.154202903256708
methyl butanoate;water;CCCC(=O)OC;O;0.2530692392914115
2-hydroxybenzaldehyde;water;c1ccc(c(c1)C=O)O;O;-0.22809735347982554
azetidine;water;C1CNC1;O;-0.45697659760884646
N-propylpropan-1-amine;water;CCCNCCC;O;0.039795398171187525
aniline;water;c1ccc(cc1)N;O;-0.4387702940985836
tetrafluoromethane;water;C(F)(F)(F)F;O;1.800605037663769
(2R)-2-methylbutan-1-ol;water;CC[C@@H](C)CO;O;-0.1604739404417058
2-iodophenol;water;c1ccc(c(c1)O)I;O;-0.62343422970268
2,6-dimethoxyphenol;water;COc1cccc(c1O)OC;O;-0.8211026678141071
but-1-yne;water;CCC#C;O;0.9475096731828727
trifluoromethylbenzene;water;c1ccc(cc1)C(F)(F)F;O;0.9241015686696774
hydrazine;water;NN;O;-1.4297133851571857
2-methylpyridine;water;Cc1ccccn1;O;-0.21509285097249486
6-chloro-2-N,4-N-diethyl-1,3,5-triazine-2,4-diamine;water;CCNc1nc(nc(n1)Cl)NCC;O;-1.6689962312920712
2,3-dichlorodibenzo-p-dioxin;water;c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl;O;0.06320350268438281
octan-1-amine;water;CCCCCCCCN;O;0.039795398171187525
azane;water;N;O;-0.1266622339226459
1,2-bis(trifluoromethyl)benzene;water;c1ccc(c(c1)C(F)(F)F)C(F)(F)F;O;1.2674204348632088
methyl 4-hydroxybenzoate;water;COC(=O)c1ccc(cc1)O;O;-1.4843322956879745
pentylbenzene;water;CCCCCc1ccccc1;O;0.9293033696726097
1,1-difluoroethane;water;CC(F)F;O;0.9605141756902035
5-amino-4-chloro-2-phenylpyridazin-3-one;water;c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl;O;-3.284155442702548
buta-1,3-diene;water;C=CC=C;O;1.1347745092884354
N,N-dimethylmethanamine;water;CN(C)C;O;0.15683592073716407
hexanamide;water;CCCCCC(=O)N;O;-1.432314285658652
2-methylpropyl nitrate;water;CC(C)CO[N+](=O)[O-];O;0.5001547869306955
1-(2-hydroxyethylamino)anthracene-9,10-dione;water;c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO;O;-2.706755531377064
2-hydroxyethyl nitrate;water;C(CO[N+](=O)[O-])O;O;-1.138412528992977
octan-2-one;water;CCCCCCC(=O)C;O;0.24006473678408083
1-methylpiperazine;water;CN1CCNCC1;O;-1.0317756084328649
ethanamine;water;CCN;O;-0.18128114445343496
cyclohepta-1,3,5-triene;water;C1C=CC=CC=C1;O;0.7316349315611826
9,10-dihydroanthracene;water;c1ccc2c(c1)Cc3ccccc3C2;O;0.005983691652127647
1,1-dichloroethane;water;CC(Cl)Cl;O;0.7706484390831748
3-methoxyphenol;water;COc1cccc(c1)O;O;-1.0031657029167373
1,2-dihydroacenaphthylene;water;c1cc2cccc3c2c(c1)CC3;O;0.16984042324449486
1-bromooctane;water;CCCCCCCCBr;O;1.1243709072825707
phenylmethanol;water;c1ccc(cc1)CO;O;-0.7326720507642581
5-bromo-1H-pyrimidine-2,4-dione;water;c1c(c(=O)[nH]c(=O)[nH]1)Br;O;-3.7367121299576582
butane;water;CCCC;O;1.535313186514222
chloromethane;water;CCl;O;0.846074553625693
1-bromo-2-methylpropane;water;CC(C)CBr;O;0.9813213797019327
2-propan-2-ylsulfanylpropane;water;CC(C)SC(C)C;O;0.6744151205289274
heptane;water;CCCCCCC;O;1.6835645150977923
1H-imidazole;water;c1cnc[nH]1;O;-1.5155431017055685
1,2,3,7-tetrachlorodibenzo-p-dioxin;water;c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl;O;-0.009621711356669248
5-bromo-3-[(2S)-butan-2-yl]-6-methyl-1H-pyrimidine-2,4-dione;water;CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br;O;-1.54155210672023
diiodomethane;water;C(I)I;O;0.34149985634126045
S-propyl N,N-dipropylcarbamothioate;water;CCCN(CCC)C(=O)SCCC;O;-0.08504782589918751
nitromethane;water;C[N+](=O)[O-];O;-0.056437920383059816
methoxyethane;water;CCOC;O;0.4429349758984402
2-chloro-1,1,1-trimethoxyethane;water;COC(CCl)(OC)OC;O;-0.20468924896663027
2-methylpropane;water;CC(C)C;O;1.5873311965435448
3-methylbutanoic acid;water;CC(C)CC(=O)O;O;-0.5948243241865523
[(E)-2-chloro-1-(2,4-dichlorophenyl)ethenyl] diethyl phosphate;water;CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl;O;-0.8497125733302348
1-chloropropane;water;CCCCl;O;0.9032943646579482
1-propylsulfanylpropane;water;CCCSCCC;O;0.6562088170186644
(3S)-hexan-3-ol;water;CCC[C@H](CC)O;O;-0.06684152238892441
acetonitrile;water;CC#N;O;-0.020025313362533843
N-methyl-N-(2,2,2-trifluoroethyl)aniline;water;CN(CC(F)(F)F)c1ccccc1;O;0.48975118492483094
(2R)-2-chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane;water;[C@@H](C(F)(F)F)(OC(F)F)Cl;O;1.0151330862209926
hexa-1,5-diene;water;C=CCCC=C;O;1.251815031854412
1,3-xylene;water;Cc1cccc(c1)C;O;0.7732493395846409
methyl acetate;water;CC(=O)OC;O;0.17504222424742716
trimethoxymethylbenzene;water;COC(c1ccccc1)(OC)OC;O;-0.06163972138599223
ethyl benzoate;water;CCOC(=O)c1ccccc1;O;0.04239629867265362
propane-1-thiol;water;CCCS;O;0.7030250260450549
heptan-2-one;water;CCCCCC(=O)C;O;0.19845032876062246
(2,2-dimethyl-3H-1-benzofuran-7-yl) N-methylcarbamate;water;CC1(Cc2cccc(c2O1)OC(=O)NC)C;O;-1.510341300702636
bromomethylbenzene;water;c1ccc(cc1)CBr;O;0.3701097618573882
ethyl hexanoate;water;CCCCCC(=O)OCC;O;0.40912326937938037
1-methoxypropane;water;CCCOC;O;0.5573745979629507
4-methylmorpholine;water;CN1CCOCC1;O;-0.6546450357202738
3-hydroxybenzonitrile;water;c1cc(cc(c1)O)C#N;O;-1.5207449027085007
1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene;water;c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl;O;-0.1500703384358412
propylbenzene;water;CCCc1ccccc1;O;0.8512763546286254
1,3,7-trimethylpurine-2,6-dione;water;Cn1cnc2c1c(=O)n(c(=O)n2C)C;O;-2.298414152646879
N-methylmethanamine;water;CNC;O;-0.1266622339226459
1,1,2,3,3,3-hexafluoroprop-1-ene;water;C(=C(F)F)(C(F)(F)F)F;O;1.7511879281359122
4-chlorophenol;water;c1cc(ccc1O)Cl;O;-0.8393089713243702
piperidine;water;C1CCNCC1;O;-0.33993607504287
phenanthrene;water;c1ccc2c(c1)ccc3c2cccc3;O;-0.020025313362533843
iodomethane;water;CI;O;0.757643936575844
3,5-dichloro-2,6-dimethoxyphenol;water;COc1c(cc(c(c1O)OC)Cl)Cl;O;-0.6858558417378675
(E)-1,2-dichloroethene;water;C(=C/Cl)\Cl;O;0.7862538420919717
pentane;water;CCCCC;O;1.5873311965435448
