Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
2-phenyl-2-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxyacetonitrile;water;OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ;O;1.0880883734583062
2-methyl-N-phenylfuran-3-carboxamide;water;Cc1occc1C(=O)Nc2ccccc2;O;-0.11925394929238488
3,7-dimethylocta-2,6-dienal;water;CC(C)=CCCC(C)=CC(=O);O;0.47248695197672846
picene;water;c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43;O;-2.3001054967116175
thiophene;water;c1ccsc1;O;0.8208505470787065
1,3-benzothiazole;water;c2ccc1scnc1c2 ;O;0.7397247783563281
1,3,5-trichloro-2-(2,6-dichlorophenyl)benzene;water;Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl;O;-2.037639774374511
13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol;water;CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O;O;-0.9448279486436482
3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene;water;ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl;O;-1.5461130579977473
16,17-dimethoxy-6-prop-1-en-2-yl-2,7,20-trioxapentacyclo[11.8.0.03,11.04,8.014,19]henicosa-3(11),4(8),9,14,16,18-hexaen-12-one;water;COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ;O;-0.6537296020515841
pyrrolidin-2-one;water;O=C1CCCN1;O;1.9661555172769907
2-chloronaphthalene;water;Clc1ccc2ccccc2c1;O;-0.5201106888617842
pent-1-ene;water;CCCC=C;O;0.1766165013421717
5-ethyl-5-phenyl-1,3-diazinane-4,6-dione;water;CCC1(C(=O)NCNC1=O)c2ccccc2;O;0.1957049175121431
tetradecane;water;CCCCCCCCCCCCCC;O;-2.343054433094053
2-chloropropane;water;CC(C)Cl;O;0.7826737147387638
2-methylbutan-1-ol;water;CCC(C)CO;O;1.2312514947330917
benzonitrile;water;N#Cc1ccccc1;O;0.9783299804809706
diethoxy-(6-methyl-2-propan-2-ylpyrimidin-4-yl)oxy-sulfanylidene-lambda5-phosphane;water;CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C;O;-0.28150548673714193
undecan-2-ol;water;CCCCCCCCCC(C)O;O;0.05254179623735768
1,2,4-trichloro-3-(2,4-dichlorophenyl)benzene;water;Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ;O;-2.090132918841932
3-cyclohexyl-1,5,6,7-tetrahydrocyclopenta[d]pyrimidine-2,4-dione;water;O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3;O;-0.7367642123909591
