Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
1-pyridin-4-ylethanone;water;CC(=O)c1ccncc1;O;-0.9927621009108728
1-nitropropane;water;CCC[N+](=O)[O-];O;0.1204233137166381
propanoic acid;water;CCC(=O)O;O;-0.6910576427407997
naphthalen-1-ol;water;c1ccc2c(c1)cccc2O;O;-1.0057666034182036
3,6-dichloro-2-methoxybenzoic acid;water;COc1c(ccc(c1C(=O)O)Cl)Cl;O;-1.5753638132392895
diethyl propanedioate;water;CCOC(=O)CC(=O)OCC;O;-0.571416219673357
(2R,3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol;water;C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O;O;-5.635369496027945
octan-1-amine;water;CCCCCCCCN;O;0.039795398171187525
methyl 4-methoxybenzoate;water;COc1ccc(cc1)C(=O)OC;O;-0.3971558860751252
1-nitrobutane;water;CCCC[N+](=O)[O-];O;0.18544582625329176
diethoxyphosphinothioylsulfanylmethylsulfanyl-diethoxy-sulfanylidene-lambda5-phosphane;water;CCOP(=S)(OCC)SCSP(=S)(OCC)OCC;O;-0.5974252246880184
2-bromo-2-methylpropane;water;CC(C)(C)Br;O;1.2075997233294875
methoxymethane;water;COC;O;0.49235208542629705
methanamine;water;CN;O;-0.19428564696076567
piperazine;water;C1CNCCN1;O;-0.9355422898786176
heptan-2-one;water;CCCCCC(=O)C;O;0.19845032876062246
(3R)-2-methylpentan-3-ol;water;CC[C@H](C(C)C)O;O;-0.020025313362533843
2-methylpropan-1-ol;water;CC(C)CO;O;-0.18128114445343496
anthracene;water;c1ccc2cc3ccccc3cc2c1;O;-0.03823161687279695
prop-2-en-1-ol;water;C=CCO;O;-0.3191288710311408
1H-pyrrole;water;c1cc[nH]c1;O;-0.25410635849448715
5-(2,4-difluorophenyl)-2-hydroxybenzoic acid;water;c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O;O;-1.455722390171847
1-bromopentane;water;CCCCCBr;O;0.9631150761916696
oct-1-yne;water;CCCCCCC#C;O;1.1737880168104275
acetaldehyde;water;CC=O;O;0.0788089056931797
